method,endpoint
GET,/products
GET,/products/{productId}
GET,/products/client/{clientId}
GET,/products/{productId}/clients
GET,/product/{productId}/states
GET,/dashboards/product/{productId}
GET,/dashboards/{dashboardId}
GET,/dashboard/{dashboardId}/clients
GET,/dashboards
GET,/dashboards/product/{productId}/client
GET,/dashboards/diagnosis
GET,/dashboards/admin-subservice
GET,/dashboards/clinical-subservice
GET,/dashboards/hco-care-classtype
GET,/dashboards/provider-segments
GET,/dashboards/treatment-pattern
GET,/dashboards/product/{productId}/cbsa
GET,/dashboards/product/{product_id}/hcp-verify-scorecard
GET,/dashboards/product/{productId}/facilities-verify-scorecard
GET,/dashboards/product/{productId}/entity-type/{entityType}
GET,/dashboards/product/{product_id}/drg
GET,/dashboards/product/{product_id}/clinical-service-line
GET,/dashboard-types
POST,/products
POST,/product/{productId}/states
POST,/dashboards/product/{productId}
POST,/dashboard
POST,/dashboards/product/{productId}/client
POST,/dashboards/audit-signed-url
POST,/dashboard-type
PUT,/products/{productId}
PUT,/dashboard
PUT,/dashboard-type
